Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
triangle-non-linear,50,0.1,0.9,hybrid,10,0.775,0.09718,0.06215,0.01603,0.56664,0.18817
triangle-non-linear,50,0.2,0.8,hybrid,10,0.7825,0.07642,0.06153,0.0147,0.56728,0.20696
triangle-non-linear,50,0.3,0.7,hybrid,10,0.765,0.08913,0.06246,0.01663,0.54589,0.16086
triangle-non-linear,50,0.4,0.6,hybrid,10,0.795,0.07341,0.06377,0.01718,0.52675,0.17618
triangle-non-linear,50,0.5,0.5,hybrid,10,0.795,0.06852,0.06692,0.01415,0.54057,0.17722
triangle-non-linear,50,0.6,0.4,hybrid,10,0.81,0.06791,0.06697,0.01562,0.53602,0.17323
triangle-non-linear,50,0.7,0.3,hybrid,10,0.82,0.05749,0.06658,0.0128,0.52201,0.16771
triangle-non-linear,50,0.8,0.2,hybrid,10,0.8175,0.05007,0.06952,0.01384,0.5571,0.19617
triangle-non-linear,100,0.0,1.0,mse,10,0.7325,0.10804,0.06292,0.0226,0.48358,0.22651
triangle-non-linear,100,0.1,0.9,hybrid,10,0.725,0.10069,0.06355,0.02383,0.50364,0.2136
triangle-non-linear,100,0.2,0.8,hybrid,10,0.78,0.07341,0.07178,0.0193,0.53241,0.22391
triangle-non-linear,100,0.3,0.7,hybrid,10,0.775,0.06872,0.07394,0.02092,0.5378,0.21789
triangle-non-linear,100,0.4,0.6,hybrid,10,0.7875,0.05683,0.07463,0.01911,0.53085,0.22527
triangle-non-linear,100,0.5,0.5,hybrid,10,0.7825,0.0578,0.07584,0.02002,0.56183,0.19539
triangle-non-linear,100,0.6,0.4,hybrid,10,0.7725,0.07017,0.06955,0.02312,0.53316,0.1955
triangle-non-linear,100,0.7,0.3,hybrid,10,0.7775,0.05584,0.06631,0.01708,0.52767,0.1921
triangle-non-linear,100,0.8,0.2,hybrid,10,0.7825,0.07822,0.06712,0.02041,0.51996,0.19408
